city,district,size_m2,rooms,year_built,rent_chf
Lausanne,Sévelin,68,2.0,1959,1960
Basel,Gundeldingen,35,2.0,1942,1030
Zürich,Kreis 1,180,7.5,1934,3900
Lugano,Besso,53,2.0,2006,1490
Bern,Länggasse,74,3.5,1956,1560
Geneva,Champel,80,3.0,1965,2440
Geneva,Carouge,79,3.0,1948,2110
Zürich,Kreis 8,66,2.5,1995,2350
Basel,St. Johann,89,3.5,1968,1710
Bern,Mattenhof,34,1.0,1948,870
Basel,Gundeldingen,61,2.5,1993,1960
Lausanne,Sévelin,60,2.0,1985,1800
Lausanne,Sous-Gare,62,2.5,1980,1880
Zürich,Kreis 6,40,1.5,1985,1400
Bern,Länggasse,42,2.0,1951,1030
Geneva,Carouge,68,3.0,1975,1880
Zürich,Kreis 6,54,2.0,1919,1730
Basel,Bachletten,62,2.5,1991,1550
Basel,Altstadt,126,5.0,1930,2660
Zürich,Kreis 3,93,4.0,1960,2440
Geneva,Servette,130,5.0,2013,4140
Bern,Kirchenfeld,77,3.5,1930,1700
Bern,Mattenhof,180,7.5,1958,3070
Basel,St. Johann,70,2.5,1958,1880
Lugano,Cassarate,88,4.0,1998,1590
Lugano,Molino Nuovo,113,4.5,1934,1650
Bern,Mattenhof,69,3.0,1950,1320
Lausanne,Sous-Gare,106,3.5,1915,2400
Lugano,Centro,44,2.0,1977,920
Geneva,Carouge,69,3.0,1969,2380
Basel,Kleinbasel,92,4.0,1999,2300
Lausanne,Sous-Gare,71,3.0,1998,1900
Lausanne,Chailly,86,3.5,2004,2340
Bern,Mattenhof,58,2.5,1974,1010
Lausanne,Chailly,70,3.0,1941,1480
Lausanne,Sévelin,50,2.5,1993,1320
Basel,Altstadt,84,4.0,1947,2140
Lausanne,Ouchy,44,1.5,1949,1140
Bern,Länggasse,53,2.0,2013,1380
Bern,Kirchenfeld,50,2.0,1981,1160
Bern,Breitenrain,71,3.0,1932,1400
Geneva,Champel,99,3.5,1951,2610
Basel,Altstadt,73,2.5,1977,1710
Geneva,Carouge,73,3.5,1921,2290
Lausanne,Sévelin,56,2.0,2006,1570
Geneva,Carouge,83,3.0,1980,2360
Bern,Breitenrain,78,3.5,1976,1960
Lugano,Cassarate,55,2.0,1964,1330
Geneva,Plainpalais,80,3.0,1952,2110
Bern,Mattenhof,73,2.5,2002,1850
Lausanne,Sévelin,47,1.5,1976,1320
Basel,Kleinbasel,60,2.5,1997,1370
Bern,Länggasse,71,3.0,1926,1480
Lugano,Besso,45,1.5,1933,1120
Lugano,Cassarate,54,2.5,1972,1000
Basel,Kleinbasel,71,3.5,2002,2230
Zürich,Kreis 7,73,3.0,2011,2430
